74,11
73,31
54,19
97,58
81,16
82,79
83,94
17,33
67,16
74,18
57,59
28,76
38,40
21,47
82,81
63,73
7,17
93,1
8,34
60,98
95,79
16,52
25,49
58,48
80,6
23,68
79,61
98,98
65,24
85,15
65,10
39,62
73,36
12,92
38,20
37,91
69,21
66,84
3,20
6,4
69,80
37,33
88,93
50,92
93,49
67,57
48,79
95,34
1,90
28,80
55,86
1,10
40,82
31,87
22,93
81,54
16,22
46,93
72,94
67,14
83,28
58,41
47,77
93,36
11,55
89,36
33,59
7,55
2,35
63,49
27,14
68,50
97,39
49,4
16,31
87,92
17,26
97,8
81,92
86,85
9,6
3,49
47,22
45,66
43,25
84,93
89,56
1,6
17,36
86,1
77,6
66,37
19,50
51,14
93,6
45,80
11,32
78,11
54,9
24,39
