83,22
83,77
87,8
4,96
23,92
41,39
40,67
60,93
35,48
57,58
22,35
44,90
55,55
83,25
15,80
82,72
2,79
84,9
34,27
86,96
39,74
17,87
33,86
66,67
92,92
29,5
9,34
59,54
82,91
11,30
54,52
67,88
17,58
94,24
78,18
23,43
50,48
67,79
78,3
17,81
48,82
11,70
86,77
30,10
97,81
28,87
88,69
25,75
71,65
66,73
30,65
20,70
5,68
23,56
26,11
55,91
56,4
47,91
72,30
19,42
79,90
3,82
79,66
55,23
60,45
56,37
71,15
22,81
62,62
25,9
67,22
52,85
29,88
52,41
70,47
41,60
10,7
87,84
66,65
11,61
9,44
22,1
17,5
22,73
60,50
89,45
96,83
61,39
52,54
66,55
25,36
97,34
88,26
97,93
70,26
93,38
71,63
20,30
67,55
33,90
