name	timestamp	run_id	partition	program	status	time_end2end	nb_atoms	command
doctors	2023-03-12 19:22:12.746396	0	0010000	q01	success	  0.419891	837	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0010000/q01/run-0
doctors	2023-03-12 19:22:13.179439	1	0010000	q01	success	  0.422669	837	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0010000/q01/run-1
doctors	2023-03-12 19:22:13.615463	2	0010000	q01	success	  0.418966	837	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0010000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0010000/q01/run-2
doctors	2023-03-12 19:22:14.048098	0	0100000	q01	success	  2.225177	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0100000/q01/run-0
doctors	2023-03-12 19:22:16.288736	1	0100000	q01	success	  2.226229	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0100000/q01/run-1
doctors	2023-03-12 19:22:18.526317	2	0100000	q01	success	  2.024420	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0100000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0100000/q01/run-2
doctors	2023-03-12 19:22:20.563114	0	0500000	q01	success	  4.134017	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0500000/q01/run-0
doctors	2023-03-12 19:22:24.709560	1	0500000	q01	success	  4.843685	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0500000/q01/run-1
doctors	2023-03-12 19:22:29.565702	2	0500000	q01	success	  4.130947	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/0500000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/0500000/q01/run-2
doctors	2023-03-12 19:22:33.708069	0	1000000	q01	success	  4.281779	1000	/home/datalog-benchmarking/datalog-benchmarking/bin/dlve-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/queries/q01.txt --dataset /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/1000000/medprescription.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/1000000/hospital.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/1000000/physician.data /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/dlve/data/1000000/treatment.data --working-dir /home/datalog-benchmarking/datalog-benchmarking/results/chasebench/doctors/dlve/1000000/q01/run-0
