36,48,31
27,5,95
78,45,30
98,54,52
9,78,60
75,39,35
88,31,71
92,36,20
54,93,59
59,36,94
2,66,54
25,59,98
70,56,61
76,80,35
79,31,21
89,79,10
19,1,18
68,43,43
27,52,11
6,98,63
55,82,94
64,23,55
83,5,70
44,44,33
24,71,88
2,80,23
69,78,38
33,14,52
42,19,88
18,32,40
14,32,93
57,31,98
77,12,25
90,30,77
17,43,51
17,93,23
10,76,63
64,23,86
79,38,46
32,85,94
94,46,87
19,35,5
41,57,20
57,97,27
81,81,96
10,47,71
38,70,19
43,94,66
13,64,68
30,93,32
92,45,52
82,82,48
48,91,9
13,90,25
5,79,53
21,2,17
29,21,29
42,94,62
3,93,70
12,83,1
50,58,37
14,42,95
58,7,92
74,6,63
50,12,42
66,68,46
78,83,87
88,50,70
41,52,42
52,26,42
76,3,54
83,9,25
59,24,70
42,40,79
91,54,44
22,19,13
13,15,23
92,13,78
76,76,66
62,98,48
87,47,46
7,36,18
91,69,33
9,8,14
22,27,21
5,24,14
61,10,76
75,94,48
34,59,49
30,40,16
98,85,34
51,78,12
26,88,26
42,78,96
47,33,73
24,1,94
27,17,77
27,53,20
54,37,17
52,87,30
