41,40
9,42
45,33
62,90
47,40
85,59
44,40
6,61
5,85
75,8
29,5
82,94
75,21
25,48
23,3
61,63
37,9
65,23
41,57
59,70
20,7
18,36
55,13
46,62
77,24
90,37
3,55
65,35
47,51
54,70
12,27
39,45
82,31
39,28
2,36
61,2
49,43
2,19
78,38
42,58
4,74
60,61
51,30
77,39
57,68
5,15
66,37
59,69
55,35
32,51
4,65
50,76
37,27
70,1
27,42
77,20
45,18
68,11
14,71
60,93
72,21
14,21
44,13
5,26
23,51
21,80
73,85
77,41
14,7
32,98
49,38
15,79
56,19
17,32
6,32
14,5
93,93
45,42
77,27
49,16
7,74
77,11
46,31
85,1
31,83
66,28
1,47
59,75
60,11
47,22
78,15
33,34
80,9
81,30
92,14
56,77
83,63
11,7
35,42
69,17
