30,35
39,9
48,39
78,75
78,33
11,25
5,31
33,94
71,44
16,66
88,29
65,73
81,39
56,45
76,16
90,60
96,69
5,76
13,43
90,66
15,35
80,52
45,4
73,95
91,5
91,24
52,80
14,23
66,56
70,13
88,14
30,83
82,76
58,50
14,28
86,15
3,64
42,18
58,61
56,64
57,85
87,61
86,5
79,59
87,23
47,47
20,47
10,64
56,86
1,24
33,32
16,41
90,29
56,90
54,93
97,63
78,67
91,26
79,24
35,56
6,25
64,95
88,49
63,2
42,98
42,41
13,78
15,68
20,3
39,35
88,29
20,95
81,10
74,88
96,14
50,2
78,93
20,81
72,62
7,43
86,57
15,20
38,59
81,35
23,46
76,4
53,49
86,92
60,62
68,64
87,35
63,83
67,82
34,27
44,76
6,7
14,52
64,51
52,20
65,9
