75,75
44,30
13,68
8,88
27,58
11,31
74,18
83,28
27,38
42,24
61,7
46,94
9,3
17,53
53,88
27,55
45,72
22,68
22,85
49,55
40,57
40,10
10,77
67,48
10,46
83,33
73,85
13,32
21,25
95,95
80,39
84,32
55,85
97,70
93,45
8,78
48,5
12,84
93,92
43,81
18,78
69,93
53,1
6,83
77,40
16,72
22,67
11,94
18,12
34,97
93,89
22,64
55,32
97,45
25,61
38,67
28,64
15,83
18,73
1,22
7,60
89,78
13,54
90,1
49,12
76,87
9,58
32,15
6,15
77,37
27,47
38,65
81,84
46,77
53,25
34,61
97,97
81,79
59,67
75,1
21,86
41,28
72,70
81,37
39,42
50,67
48,85
29,82
64,51
35,95
91,3
70,61
83,84
37,20
69,12
47,32
31,67
25,37
23,61
36,31
