5,68,18
6,48,31
41,44,25
12,33,54
58,54,81
8,8,81
55,93,92
84,94,16
93,15,49
31,21,8
77,13,81
7,37,84
5,53,23
47,89,48
43,92,1
18,4,88
70,68,91
9,47,28
3,54,44
67,31,79
15,37,16
33,14,2
33,48,97
61,10,44
86,73,42
48,37,47
71,71,38
98,5,13
41,16,64
61,67,9
32,68,13
28,17,79
8,73,26
42,84,7
70,13,45
51,58,40
49,91,42
74,22,83
67,46,30
69,8,39
54,26,25
7,12,80
49,87,67
93,48,4
59,53,71
26,62,93
29,89,85
7,73,1
57,60,45
78,65,70
15,81,92
26,20,3
16,40,91
70,80,39
25,19,69
82,61,18
20,36,93
30,78,72
96,95,67
19,33,30
52,10,44
76,52,16
44,80,8
62,62,71
5,25,57
36,55,59
52,36,12
49,42,49
41,88,70
59,94,52
86,54,87
64,44,76
6,30,44
82,26,90
43,95,41
27,97,77
97,53,55
37,11,89
3,67,69
95,92,98
48,92,46
48,21,47
67,83,7
13,91,19
22,17,20
59,74,49
2,22,9
70,40,52
80,44,51
77,84,89
58,23,96
70,43,22
89,17,55
41,8,24
28,11,38
83,75,77
91,40,29
90,52,88
71,29,82
67,63,68
