75,2,77
53,89,82
40,80,82
93,78,28
41,71,74
38,89,83
52,18,16
60,72,29
30,29,75
92,26,85
51,66,33
54,5,19
86,19,7
36,95,62
7,82,72
64,17,2
66,89,2
53,94,98
65,11,14
69,46,96
93,12,9
53,68,2
48,11,51
23,34,51
89,55,18
17,74,94
64,47,78
82,88,19
96,94,69
31,30,50
42,3,39
91,23,21
71,3,4
4,61,51
66,91,75
61,15,6
55,27,77
66,64,97
11,60,67
17,17,17
93,40,12
11,51,54
38,69,25
64,30,49
86,38,70
45,65,25
93,24,23
2,98,82
66,73,43
39,26,81
39,22,79
66,97,17
92,35,13
53,19,28
45,4,73
34,34,61
5,63,33
42,88,70
29,2,11
29,38,54
6,93,61
57,87,29
83,34,46
53,20,3
75,5,7
15,94,92
12,49,62
20,57,85
59,35,22
78,41,2
29,65,91
50,15,76
30,58,24
6,71,17
63,77,55
74,66,20
63,95,30
72,53,42
82,35,40
4,1,7
58,94,63
90,86,43
80,51,85
9,38,63
64,51,91
25,55,53
52,85,77
3,71,34
43,15,46
41,64,25
40,47,59
5,71,93
96,20,76
74,81,91
92,85,38
25,40,64
75,95,45
58,19,86
21,9,19
28,41,9
